ride_id,rider_id,driver_id,request_time,pickup_time,dropoff_time,pickup_city,dropoff_city,distance_km,status,fare
50,8161,100,6/24/2021 15:38,6/24/2021 15:46,6/24/2021 16:03,Chicago,New York,16.05,completed,39.8
51,6733,1632,6/15/2022 9:41,6/15/2022 9:56,6/15/2022 10:48,Chicago,Boston,23.45,completed,61.44
52,7583,928,7/25/2021 3:26,7/25/2021 3:36,7/25/2021 4:08,Montreal,Los Angeles,29.3,completed,68.5
53,3195,959,1/6/2021 6:57,1/6/2021 6:59,1/6/2021 7:21,New York,New York,23.33,cancelled,55.13
54,5851,1670,8/25/2021 21:38,8/25/2021 21:52,8/25/2021 22:25,Calgary,Toronto,8.7,completed,21.15
55,6021,667,10/6/2023 7:21,10/6/2023 7:30,10/6/2023 8:17,New York,New York,23.42,completed,58.77
56,2491,991,8/23/2024 6:28,8/23/2024 6:39,8/23/2024 6:55,Chicago,Toronto,11.78,completed,28.95
57,5240,949,10/27/2023 6:19,10/27/2023 6:33,10/27/2023 6:50,Toronto,Montreal,19.75,cancelled,57.08
58,4934,465,6/11/2023 3:45,6/11/2023 3:57,6/11/2023 4:52,Toronto,Boston,1.68,cancelled,10.95
59,8669,1651,9/2/2023 20:37,9/2/2023 20:49,9/2/2023 20:59,Vancouver,Chicago,23.63,completed,60.05
60,3252,250,11/4/2021 18:17,11/4/2021 18:24,11/4/2021 19:08,Los Angeles,Los Angeles,9.78,completed,22.87
61,8489,1589,8/31/2022 0:47,8/31/2022 0:50,8/31/2022 1:41,New York,Ottawa,8.15,completed,26.59
62,9431,1488,9/8/2023 11:38,9/8/2023 11:52,9/8/2023 12:28,Boston,Los Angeles,14.74,completed,46.22
63,6120,1980,8/14/2023 22:39,8/14/2023 22:45,8/14/2023 23:42,Boston,Boston,28.34,completed,80.72
64,2471,1311,12/13/2023 21:18,12/13/2023 21:31,12/13/2023 22:28,Vancouver,Boston,16.79,cancelled,38.11
65,3115,1831,3/23/2023 5:29,3/23/2023 5:39,3/23/2023 6:22,Chicago,New York,11.6,completed,26.94
66,7761,1416,12/14/2023 7:16,12/14/2023 7:30,12/14/2023 8:25,Boston,Los Angeles,5.08,completed,19.42
67,3714,867,10/26/2022 1:03,10/26/2022 1:05,10/26/2022 1:42,Los Angeles,New York,17.77,completed,51.59
68,1502,1859,3/18/2021 1:10,3/18/2021 1:19,3/18/2021 1:53,New York,Calgary,19.44,completed,53.71
69,9948,1020,5/8/2024 23:29,5/8/2024 23:31,5/9/2024 0:24,Calgary,Chicago,8.54,completed,30.11
70,3276,781,3/1/2021 22:09,3/1/2021 22:11,3/1/2021 22:16,Vancouver,Toronto,9.42,completed,31.9
71,1635,726,9/29/2023 16:06,9/29/2023 16:20,9/29/2023 17:17,Calgary,Boston,21.52,completed,51.01
72,9147,1389,5/21/2023 6:32,5/21/2023 6:43,5/21/2023 6:59,Toronto,Vancouver,1.23,completed,4.79
73,7123,1891,1/4/2024 23:42,1/4/2024 23:55,1/5/2024 0:16,Calgary,S.F,4.89,cancelled,15.17
74,7840,411,5/19/2022 19:13,5/19/2022 19:21,5/19/2022 20:14,San Francisco,Chicago,8.01,completed,25.22
75,3551,1415,8/26/2021 7:32,8/26/2021 7:35,8/26/2021 7:50,Calgary,New York,3.21,completed,15.13
76,9953,599,1/30/2022 4:43,1/30/2022 4:46,1/30/2022 5:13,Calgary,Ottawa,14.33,completed,37.32
77,3017,366,2/15/2024 14:54,2/15/2024 15:00,2/15/2024 15:30,New York,Montreal,2.27,completed,7.36
78,5531,433,8/1/2022 5:54,8/1/2022 6:05,8/1/2022 6:13,Montreal,Boston,7.07,completed,25.33
79,7845,1771,5/25/2024 19:06,5/25/2024 19:10,5/25/2024 19:19,Toronto,Calgary,29.45,completed,81.43
80,6502,1401,5/16/2024 20:32,5/16/2024 20:40,5/16/2024 21:02,Toronto,Boston,8.02,cancelled,-18
81,5166,470,8/23/2024 22:46,8/23/2024 22:55,8/23/2024 23:19,Toronto,Calgary,28.59,complted,77.15
82,223,1820,10/23/2023 6:15,10/23/2023 6:17,10/23/2023 6:36,Montreal,Chicago,29.45,completed,72.52
83,940,1042,5/3/2024 17:57,5/3/2024 18:02,5/3/2024 18:49,Montreal,Boston,13.67,completed,30.27
84,7759,1346,7/22/2022 14:10,7/22/2022 14:17,7/22/2022 14:26,Los Angeles,S.F,19.05,complted,45.48
85,738,741,5/10/2022 15:34,5/10/2022 15:39,5/10/2022 16:20,Toronto,Chicago,23.99,cancelled,69.13
86,1103,755,5/15/2021 8:07,5/15/2021 8:14,5/15/2021 9:05,San Francisco,Toronto,28.84,completed,81.76
87,5607,676,10/28/2022 6:53,10/28/2022 6:58,10/28/2022 7:04,Ottawa,Toronto,22.96,completed,59.55
88,6160,1214,11/25/2021 14:02,11/25/2021 14:12,11/25/2021 14:37,Vancouver,Calgary,21.83,completed,59.18
89,3029,124,1/12/2023 5:49,1/12/2023 6:02,1/12/2023 6:07,Chicago,New York,20.33,completed,54.3
90,7121,2000,9/3/2021 21:41,9/3/2021 21:52,9/3/2021 21:57,Toronto,Ottawa,23.38,completed,53.63
91,8129,197,7/31/2021 4:46,7/31/2021 4:58,7/31/2021 5:45,Toronto,Chicago,1.26,completed,12.04
92,3307,1171,1/14/2022 11:57,1/14/2022 12:10,1/14/2022 13:00,Montreal,Ottawa,7.63,completed,17.41
93,8716,1161,10/3/2023 11:50,10/3/2023 11:58,10/3/2023 12:28,New York,Ottawa,10.33,cancelled,31.76
94,7776,442,4/26/2021 6:07,4/26/2021 6:10,4/26/2021 6:42,Vancouver,Vancouver,3.77,completed,4.86
95,9863,1578,10/15/2021 23:15,10/15/2021 23:18,10/15/2021 23:51,Montreal,New York,14.95,completed,34.15
96,5557,1425,6/15/2023 23:45,6/15/2023 23:54,6/16/2023 0:33,Ottawa,Vancouver,9.38,completed,32.24
97,6888,722,1/4/2022 12:37,1/4/2022 12:51,1/4/2022 13:36,Boston,Ottawa,29.8,completed,80.92
98,5059,416,6/29/2021 2:15,6/29/2021 2:25,6/29/2021 2:35,Montreal,Los Angeles,11.78,completed,35.76
99,506,1954,3/8/2023 3:10,3/8/2023 3:21,3/8/2023 4:12,Ottawa,Los Angeles,27.63,cancelled,72.73
100,2043,297,3/12/2021 23:05,3/12/2021 23:08,3/12/2021 23:20,Ottawa,Toronto,11.36,completed,27.17
101,386,1587,6/27/2022 7:35,6/27/2022 7:43,6/27/2022 8:39,Montreal,S.F,17.36,completed,48.25
102,9225,1311,12/10/2022 12:26,12/10/2022 12:39,12/10/2022 13:02,Vancouver,New York,7.97,completed,28.7
103,20,288,10/16/2022 18:58,10/16/2022 19:07,10/16/2022 19:41,Montreal,S.F,3.95,completed,8.19
104,7132,1017,9/15/2022 19:08,9/15/2022 19:13,9/15/2022 19:54,Vancouver,Ottawa,2.13,completed,2.95
105,5072,1813,5/19/2021 7:09,5/19/2021 7:16,5/19/2021 8:13,Boston,Montreal,26.14,completed,74.61
106,6990,1415,2/22/2021 11:12,2/22/2021 11:17,2/22/2021 12:16,Los Angeles,New York,17.87,completed,48.38
107,4003,723,5/4/2022 22:09,5/4/2022 22:21,5/4/2022 22:40,Vancouver,Boston,15.98,completed,39.19
108,6327,1997,2/28/2022 3:47,2/28/2022 3:57,2/28/2022 4:29,Ottawa,Chicago,11.24,cancelled,37.3
109,7232,162,6/20/2021 17:44,6/20/2021 17:59,6/20/2021 18:44,Ottawa,Los Angeles,26.88,completed,73.91
110,6229,457,5/14/2022 19:20,5/14/2022 19:24,5/14/2022 19:32,Los Angeles,Ottawa,14.81,completed,35.1
111,131,368,7/26/2022 16:17,7/26/2022 16:23,7/26/2022 16:35,Chicago,Calgary,18.14,completed,45.32
112,6776,1382,11/17/2021 14:02,11/17/2021 14:09,11/17/2021 14:33,Boston,Toronto,25.8,completed,60.57
113,4752,1877,3/26/2023 19:31,3/26/2023 19:41,3/26/2023 20:40,Calgary,Ottawa,3,cancelled,10.1
114,6447,715,12/4/2024 5:08,12/4/2024 5:13,12/4/2024 5:44,Montreal,Boston,12.87,cancelled,39.71
115,5414,1544,2/11/2022 13:49,2/11/2022 14:03,2/11/2022 14:26,Boston,S.F,10.63,completed,33.14
116,1196,1622,10/24/2024 22:56,10/24/2024 23:01,10/24/2024 23:45,Toronto,Montreal,19.98,completed,58.09
117,9888,1207,1/15/2022 22:54,1/15/2022 23:07,1/15/2022 23:50,Boston,S.F,16.63,completed,42.95
118,7388,584,12/18/2021 17:21,12/18/2021 17:31,12/18/2021 17:53,Montreal,S.F,2.09,completed,11.71
119,9198,351,8/15/2021 23:09,8/15/2021 23:13,8/15/2021 23:21,Ottawa,Los Angeles,1,completed,5.34
120,2103,1240,1/29/2024 1:31,1/29/2024 1:39,1/29/2024 2:30,Boston,Ottawa,2.58,cancelled,4.84
121,8736,1316,4/11/2024 23:42,4/11/2024 23:57,4/12/2024 0:35,Ottawa,S.F,9.82,completed,23.01
122,2584,213,1/13/2021 9:22,1/13/2021 9:37,1/13/2021 10:30,Ottawa,Vancouver,1.04,completed,12.1
123,2840,236,8/29/2024 14:49,8/29/2024 14:57,8/29/2024 15:50,New York,Vancouver,7.5,completed,24.88
124,8497,713,10/27/2021 8:59,10/27/2021 9:04,10/27/2021 9:49,Montreal,Los Angeles,25.6,completed,63.54
125,9595,271,8/27/2024 15:11,8/27/2024 15:24,8/27/2024 15:37,New York,Boston,10.43,completed,33.33
126,4945,570,5/31/2023 7:32,5/31/2023 7:39,5/31/2023 8:38,San Francisco,Montreal,6.27,completed,24.2
127,2432,1482,8/8/2023 1:26,8/8/2023 1:30,8/8/2023 2:11,New York,New York,24.39,complted,67.29
128,5829,219,7/31/2021 19:53,7/31/2021 20:06,7/31/2021 20:18,Boston,Vancouver,12.4,completed,35.92
129,6447,1771,7/8/2022 9:33,7/8/2022 9:42,7/8/2022 10:32,Ottawa,Montreal,3.28,completed,13.84
130,9542,691,9/3/2023 13:42,9/3/2023 13:53,9/3/2023 14:51,Vancouver,New York,5.85,completed,18.38
131,7050,1989,6/6/2024 7:59,6/6/2024 8:01,6/6/2024 8:42,Ottawa,Boston,28.61,completed,70.5
132,4278,1446,7/15/2022 0:16,7/15/2022 0:25,7/15/2022 0:49,Boston,San Francisco,18.45,completed,51.84
133,6498,795,12/10/2021 18:11,12/10/2021 18:13,12/10/2021 18:22,Boston,Calgary,23.01,completed,60.23
134,788,1813,11/14/2021 23:54,11/14/2021 23:59,11/15/2021 0:15,Boston,Montreal,15.76,completed,48.39
135,2224,69,8/25/2024 19:38,8/25/2024 19:42,8/25/2024 19:59,San Francisco,Vancouver,25,completed,68.21
136,4344,833,11/19/2021 23:31,11/19/2021 23:42,11/19/2021 23:53,New York,San Francisco,14.39,cancelled,41.39
137,7386,1463,6/20/2023 3:17,6/20/2023 3:24,6/20/2023 4:01,Montreal,Calgary,22.14,cancelled,54.46
138,536,1131,5/14/2024 12:07,5/14/2024 12:22,5/14/2024 13:08,Los Angeles,Chicago,24.41,completed,61.21
139,4598,782,3/16/2024 3:41,3/16/2024 3:51,3/16/2024 3:59,Chicago,Toronto,10.73,cancelled,34.67
140,7984,898,10/13/2024 10:20,10/13/2024 10:25,10/13/2024 10:34,Vancouver,San Francisco,21.33,completed,56.76
141,616,619,11/19/2021 20:48,11/19/2021 21:02,11/19/2021 21:27,New York,Chicago,28.47,completed,71.88
142,6007,1940,3/14/2021 21:44,3/14/2021 21:47,3/14/2021 22:02,Calgary,Ottawa,5.73,completed,20.34
143,6917,801,6/10/2022 14:14,6/10/2022 14:17,6/10/2022 14:50,Los Angeles,Chicago,12.15,completed,37.96
144,2187,1066,8/27/2021 4:06,8/27/2021 4:16,8/27/2021 5:11,Boston,New York,1.33,completed,12.88
145,2203,677,9/16/2022 8:31,9/16/2022 8:41,9/16/2022 8:52,Boston,Boston,13.69,completed,39.8
146,3764,45,12/7/2021 22:02,12/7/2021 22:06,12/7/2021 22:27,Montreal,Vancouver,24.7,completed,71.26
147,2013,1373,10/31/2024 12:07,10/31/2024 12:14,10/31/2024 13:09,Vancouver,Los Angeles,2.5,completed,12.03
148,176,897,8/22/2024 14:22,8/22/2024 14:29,8/22/2024 14:43,Vancouver,Ottawa,26.02,completed,72.05
149,5165,511,10/27/2024 23:54,10/28/2024 0:06,10/28/2024 0:14,Chicago,San Francisco,17.03,completed,39.55
150,3451,115,5/2/2021 13:04,5/2/2021 13:19,5/2/2021 13:35,Boston,Ottawa,26.09,completed,64.87
151,4233,1672,1/28/2023 12:23,1/28/2023 12:26,1/28/2023 12:46,New York,Boston,9.41,cancelled,28.62
152,2160,96,7/17/2021 8:59,7/17/2021 9:08,7/17/2021 9:31,Vancouver,Toronto,24.1,completed,64.62
153,9528,1658,2/26/2024 17:21,2/26/2024 17:34,2/26/2024 18:28,New York,Toronto,17.58,cancelled,52.54
154,2672,1962,9/11/2021 20:14,9/11/2021 20:25,9/11/2021 21:21,Chicago,San Francisco,1.35,completed,-0.85
155,6117,120,11/14/2022 12:01,11/14/2022 12:15,11/14/2022 13:06,Montreal,San Francisco,16.92,completed,41.9
156,8954,948,2/8/2024 11:13,2/8/2024 11:26,2/8/2024 11:37,Vancouver,Vancouver,11.24,completed,28.11
157,4268,848,6/14/2021 11:09,6/14/2021 11:19,6/14/2021 12:14,Ottawa,Chicago,22.25,completed,51.65
158,820,792,7/13/2022 20:51,7/13/2022 21:02,7/13/2022 21:41,Boston,Calgary,23.73,completed,60.82
159,7221,316,5/10/2024 1:52,5/10/2024 2:03,5/10/2024 2:38,Chicago,Los Angeles,20.88,completed,48.05
160,1051,369,8/30/2021 15:23,8/30/2021 15:29,8/30/2021 16:12,New York,Ottawa,11.84,cancelled,34.23
161,5624,790,9/5/2022 8:57,9/5/2022 9:10,9/5/2022 9:49,San Francisco,San Francisco,20.47,completed,49.16
162,2416,1940,1/20/2022 7:56,1/20/2022 8:04,1/20/2022 8:24,Boston,Vancouver,13.13,completed,29.35
163,1251,1627,10/17/2021 10:01,10/17/2021 10:03,10/17/2021 10:16,Toronto,Toronto,9.06,completed,24.13
164,1954,1088,12/13/2022 7:21,12/13/2022 7:30,12/13/2022 7:37,Boston,Los Angeles,29.43,completed,76.36
165,9058,852,6/8/2024 3:54,6/8/2024 4:09,6/8/2024 5:01,Ottawa,New York,6.2,cancelled,12.2
166,1212,931,8/21/2024 6:51,8/21/2024 6:52,8/21/2024 7:52,Vancouver,San Francisco,12.7,completed,37.32
167,3696,1226,8/23/2021 15:34,8/23/2021 15:40,8/23/2021 15:51,Ottawa,Ottawa,13.26,completed,34.11
168,5816,365,7/19/2023 5:40,7/19/2023 5:46,7/19/2023 6:38,Toronto,Vancouver,8.66,completed,23.9
169,2876,292,11/7/2024 8:37,11/7/2024 8:45,11/7/2024 9:14,San Francisco,Boston,8.79,completed,26.83
170,7445,373,9/12/2021 1:34,9/12/2021 1:35,9/12/2021 2:03,San Francisco,Chicago,29.09,completed,68.88
171,6156,361,8/9/2022 11:15,8/9/2022 11:26,8/9/2022 11:51,San Francisco,Ottawa,3.19,cancelled,7.43
172,6267,1741,10/26/2021 19:36,10/26/2021 19:51,10/26/2021 20:08,New York,Calgary,3.67,completed,13.53
173,3316,2000,3/27/2022 8:08,3/27/2022 8:13,3/27/2022 8:37,Vancouver,New York,19.81,completed,44.75
174,8497,1023,3/2/2023 1:02,3/2/2023 1:12,3/2/2023 1:54,Los Angeles,New York,28.99,completed,77.62
175,341,1648,9/16/2021 4:45,9/16/2021 4:46,9/16/2021 5:46,Los Angeles,Ottawa,21.49,completed,53.42
176,8315,1402,6/27/2022 17:07,6/27/2022 17:09,6/27/2022 17:53,L.A,Boston,8.86,completed,30.14
177,7344,1018,2/4/2022 19:46,2/4/2022 19:56,2/4/2022 20:45,Chicago,Montreal,28.46,completed,68.47
178,3428,328,9/25/2024 9:05,9/25/2024 9:15,9/25/2024 10:07,L.A,Montreal,28.4,completed,79.24
179,3031,927,12/2/2024 3:52,12/2/2024 4:00,12/2/2024 4:35,L.A,Chicago,6.88,completed,22.72
180,5877,1162,8/27/2021 15:01,8/27/2021 15:02,8/27/2021 15:33,Toronto,Montreal,20.72,completed,47.03
181,1372,291,6/11/2024 13:08,6/11/2024 13:18,6/11/2024 13:31,New York,Los Angeles,17.9,completed,46.5
182,2584,310,7/10/2023 11:05,7/10/2023 11:10,7/10/2023 11:22,Toronto,Los Angeles,28.77,completed,79.52
183,6726,448,3/7/2021 7:25,3/7/2021 7:28,3/7/2021 8:10,L.A,Los Angeles,6.47,completed,25.83
184,9529,824,12/28/2021 7:38,12/28/2021 7:45,12/28/2021 8:05,Vancouver,Chicago,3.95,completed,11.38
185,2824,1694,8/25/2023 21:36,8/25/2023 21:48,8/25/2023 22:11,Chicago,New York,3.69,completed,17.94
186,1246,687,10/28/2023 7:34,10/28/2023 7:39,10/28/2023 8:23,Calgary,New York,13.59,completed,35.49
187,9032,696,5/31/2021 20:00,5/31/2021 20:04,5/31/2021 20:22,Toronto,Boston,21.98,completed,58.79
188,663,90,2/28/2022 11:41,2/28/2022 11:51,2/28/2022 12:30,Boston,Chicago,18.79,completed,45.61
189,1372,363,8/14/2024 5:04,8/14/2024 5:07,8/14/2024 5:18,Chicago,Toronto,21.71,completed,52.26
190,4851,1048,10/27/2023 12:58,10/27/2023 13:13,10/27/2023 13:25,L.A,Calgary,26.45,completed,61.33
191,7135,1113,10/11/2022 0:43,10/11/2022 0:52,10/11/2022 1:28,Montreal,San Francisco,8.2,completed,19.56
192,1704,1564,6/25/2023 10:11,6/25/2023 10:13,6/25/2023 10:51,L.A,San Francisco,8.18,completed,22.33
193,959,798,4/26/2022 11:41,4/26/2022 11:46,4/26/2022 12:39,Chicago,New York,22.25,completed,60.72
194,6362,364,6/5/2023 11:47,6/5/2023 12:02,6/5/2023 12:39,Vancouver,Vancouver,3.35,cancelled,15.95
195,7872,501,7/16/2024 7:47,7/16/2024 7:53,7/16/2024 8:31,L.A,Montreal,24.35,cancelled,69.87
196,4617,1937,9/13/2024 20:00,9/13/2024 20:07,9/13/2024 20:59,San Francisco,Toronto,16.78,completed,46.2
197,2119,446,4/6/2022 2:55,4/6/2022 3:06,4/6/2022 3:22,Toronto,Ottawa,22.54,completed,59.17
198,7146,1657,8/13/2021 23:40,8/13/2021 23:43,8/13/2021 23:52,Boston,Chicago,2.99,completed,16.29
199,1048,94,3/18/2022 16:17,3/18/2022 16:20,3/18/2022 17:04,San Francisco,Calgary,17.95,completed,43.91
200,1848,577,2/13/2024 6:29,2/13/2024 6:37,2/13/2024 7:14,Ottawa,Toronto,11.69,cancelled,34.22
201,7316,315,7/6/2024 4:29,7/6/2024 4:42,7/6/2024 5:13,Ottawa,Ottawa,23.83,completed,64.03
202,4550,1179,12/9/2023 21:28,12/9/2023 21:37,12/9/2023 21:48,Chicago,Calgary,8.2,completed,21.91
203,1817,1507,5/4/2023 16:48,5/4/2023 16:49,5/4/2023 16:57,Boston,Montreal,13.83,completed,43.62
204,344,1511,12/6/2023 1:32,12/6/2023 1:44,12/6/2023 1:59,New York,New York,2.86,cancelled,-6.54
205,3223,1532,9/8/2021 13:27,9/8/2021 13:36,9/8/2021 14:02,Boston,Calgary,13.87,completed,34.19
206,1579,8,5/15/2022 20:17,5/15/2022 20:28,5/15/2022 20:35,L.A,Chicago,15.58,completed,41.32
207,8675,1842,12/31/2021 23:19,12/31/2021 23:28,1/1/2022 0:18,New York,Los Angeles,27.89,completed,76.19
208,2652,1895,10/12/2022 5:33,10/12/2022 5:47,10/12/2022 6:43,Ottawa,Chicago,12.88,completed,31.1
209,9250,1572,8/8/2023 21:03,8/8/2023 21:04,8/8/2023 21:12,Vancouver,Montreal,5.63,completed,10.13
210,7082,336,7/1/2024 22:03,7/1/2024 22:11,7/1/2024 23:04,Montreal,Boston,6.38,completed,24.18
211,2906,1729,5/14/2023 10:05,5/14/2023 10:20,5/14/2023 10:38,Calgary,Ottawa,24.61,completed,58.18
212,3340,440,6/19/2024 8:53,6/19/2024 9:01,6/19/2024 9:32,Toronto,Calgary,9.39,completed,22.22
213,1869,1809,9/8/2023 9:20,9/8/2023 9:29,9/8/2023 10:25,Montreal,Chicago,15.94,completed,40.2
214,1717,508,11/6/2022 6:41,11/6/2022 6:50,11/6/2022 7:14,Toronto,New York,11.26,cancelled,34.99
215,3111,318,10/29/2023 5:09,10/29/2023 5:18,10/29/2023 6:13,Chicago,Boston,9.93,cancelled,34.12
216,9975,313,6/4/2021 0:33,6/4/2021 0:44,6/4/2021 1:23,Calgary,Boston,10.48,completed,28.78
217,3062,945,2/20/2024 3:48,2/20/2024 3:58,2/20/2024 4:49,Toronto,Calgary,28.29,cancelled,67.26
218,325,832,10/23/2024 8:21,10/23/2024 8:29,10/23/2024 9:05,Montreal,Toronto,12.39,completed,33.52
219,6923,1548,9/5/2023 8:23,9/5/2023 8:35,9/5/2023 9:03,Ottawa,Chicago,6.62,cancelled,-21.7
220,8819,1071,6/6/2021 1:05,6/6/2021 1:19,6/6/2021 2:05,San Francisco,Boston,25.3,cancelled,69.48
221,2088,957,8/1/2023 11:22,8/1/2023 11:30,8/1/2023 12:01,Toronto,Vancouver,13.74,completed,31.76
222,1814,722,7/11/2023 20:19,7/11/2023 20:26,7/11/2023 21:08,Calgary,Boston,20.54,completed,56.76
223,4898,717,10/24/2023 10:12,10/24/2023 10:20,10/24/2023 10:36,New York,Chicago,7.66,completed,16.63
224,6175,755,12/18/2023 2:11,12/18/2023 2:25,12/18/2023 2:55,Calgary,Montreal,1.06,completed,8.64
