ticker,market_date,price,open_price,high,low,volume,change,market_cap,circulating_supply,percent_change_24h,percent_change_7d
ETH,2023-03-17,-416.52,191.97,890.96,-426.77,305574.52,-316.97%,-320247910243.0,629291458.17,1.81,-34.38
XRP,2022-08-22,34465.0,33941.12,34701.21,33708.76,287287.5,1.54%,33914632619079.55,121710779.17,15.35,-45.95
LTC,2023-07-01,26056.03,26352.49,26934.11,25956.26,260082.0,-1.12%,7402859648677.52,755467631.7,16.35,9.54
BTC,2022-07-31,39634.94,39632.6,39938.2,39292.71,256556.58,0.01%,36466447977228.04,164391203.58,-3.41,-21.03
ADA,2022-10-04,28686.24,28741.69,29368.83,28210.31,638248.07,-0.19%,11589512438262.97,778771708.79,11.53,-20.77
LTC,2023-12-22,31106.41,31477.66,31634.73,30780.63,595151.85,-1.18%,4367139829463.81,668590127.71,-5.84,-2.73
XRP,2022-12-29,24230.34,23888.09,24582.79,23569.85,69619.89,1.43%,7290545058804.07,745464480.46,-17.9,12.11
BTC,2023-05-18,24092.62,23629.29,24517.84,23619.18,75792.26,1.96%,20894148008719.63,686610225.72,9.68,16.9
BTC,2023-05-24,2570.09,2154.78,2775.66,1155.09,702688.95,19.27%,1869413699333.92,227460335.58,10.06,-21.21
BTC,2023-08-07,23140.61,23098.66,23428.86,22930.4,898228.97,0.18%,10085487829347.35,447844603.35,8.35,2.42
ETH,2022-12-19,45218.9,45528.58,45972.7,44739.24,808777.56,-0.68%,17642012733557.61,220939362.14,-12.15,44.0
ADA,2024-05-16,2403.34,2584.68,2973.03,2350.65,194888.31,-7.02%,139233872701.8,638435554.6,-13.07,11.08
ADA,2022-08-16,35690.2,35275.69,35787.81,34991.27,359540.37,1.18%,16375949701238.84,632247552.3,0.64,45.65
ADA,2023-08-03,28643.07,29089.91,29580.11,28385.79,273213.32,-1.54%,1282162528088.08,163694685.02,-19.85,15.46
ETH,2022-07-24,39039.34,39355.3,40035.8,38384.62,922177.99,-0.8%,17733638471158.24,340164236.1,-15.91,38.28
LTC,2023-04-15,27185.73,26841.47,27734.95,26585.97,198230.45,1.28%,2203018188262.29,870077891.87,-6.17,33.73
LTC,2024-04-07,36276.25,36478.4,36779.72,35961.5,487263.82,-0.55%,31636652833204.41,240722042.45,-7.77,5.2
BTC,2023-09-03,24456.92,24815.5,25253.7,23898.35,498646.16,-1.44%,10777394177738.65,86530124.09,-10.35,32.63
ETH,2023-07-17,44287.32,44224.22,44437.69,43611.46,563421.11,0.14%,39270351673597.72,395076556.22,18.36,-25.03
ETH,2022-09-28,42314.54,42038.9,42317.9,41686.8,116212.52,0.66%,38071492056492.39,610471915.08,11.56,21.11
XRP,2023-10-28,30196.81,30273.03,30809.2,30012.04,127542.93,-0.25%,23665546260785.87,99801865.7,9.32,-25.12
LTC,2024-03-25,41.02,421.32,956.84,-6.95,390847.65,-90.26%,11207169886.3,971178285.74,2.59,-27.04
ADA,2024-03-26,13384.91,14180.14,14920.01,13278.57,314443.27,-5.61%,4390010386966.76,373823722.56,-0.79,8.21
ETH,2022-06-04,27138.49,27700.83,28028.71,27115.4,138524.63,-2.03%,10751870011016.25,975780822.88,0.42,-42.35
ETH,2023-10-10,28970.5,28517.95,29213.65,28304.49,818012.25,1.59%,22023564542845.61,354108940.18,3.64,12.9
BTC,2024-02-09,41757.92,41713.3,42239.74,41354.69,22509.14,0.11%,9222383567225.68,653110656.65,6.43,-0.53
XRP,2023-11-30,16175.56,15765.79,16613.57,15506.63,706384.66,2.6%,13294281943485.61,785583381.43,-4.64,-44.08
BTC,2023-04-07,36582.9,36350.37,37312.06,36007.2,728540.04,0.64%,24077892209263.96,260846481.9,6.86,-19.51
LTC,2023-12-28,26889.92,27021.71,27754.02,26870.49,631551.65,-0.49%,686771598266.43,45918277.48,-10.97,15.39
BTC,2022-07-22,17913.51,17311.93,17975.91,17176.08,454477.18,3.47%,2560071803656.71,312639880.47,5.96,22.81
XRP,2023-06-15,1193.25,580.7,1471.62,46.99,980821.41,105.48%,841515405367.92,759326934.58,2.59,-37.74
XRP,2022-11-11,-96.09,255.19,393.42,-613.66,735110.5,-137.65%,-14319304755.17,330720955.65,13.61,32.07
ETH,2022-06-11,48463.92,47832.57,48728.9,47089.76,565794.69,1.32%,34800729806731.21,427750094.93,14.59,-39.63
XRP,2024-05-16,8024.66,7588.54,8190.51,7336.07,735391.77,5.75%,226615739258.17,932490586.64,-18.55,-41.04
LTC,2024-04-06,7704.95,7625.37,7861.52,7269.56,410664.25,1.04%,2084727666353.5,492820840.47,-4.3,-18.92
LTC,2023-12-04,23280.07,23498.98,23533.91,22967.19,934748.96,-0.93%,914034959899.54,395670203.02,-15.2,-15.34
BTC,2022-06-10,14321.48,13725.18,14720.86,13471.26,705681.94,4.34%,13307432505972.13,994945531.82,10.48,26.26
ADA,2023-05-03,19240.21,19364.98,20199.38,19114.35,981906.85,-0.64%,15488265881130.86,943158103.17,-10.29,17.39
ADA,2024-04-16,43084.33,43794.64,43957.19,42926.59,847754.36,-1.62%,35340354412273.01,585347765.73,-17.95,-34.38
LTC,2023-05-26,14453.75,14630.41,14923.83,14135.55,436695.57,-1.21%,2469646224657.08,788551745.22,2.74,-5.81
LTC,2022-05-29,47656.78,47435.55,47915.96,46488.86,780831.56,0.47%,35625095255871.34,188466930.58,1.96,-7.61
ETH,2023-11-13,8508.39,8575.96,9234.82,8418.56,508883.97,-0.79%,6780032328677.68,605440625.98,10.19,-23.42
LTC,2022-06-02,22391.32,21492.31,22483.16,20774.39,542491.75,4.18%,12427301088591.96,990100245.14,-12.4,28.26
ETH,2022-05-26,37620.67,37527.63,37682.96,36866.5,567652.3,0.25%,13602903259867.04,949570628.46,2.46,-8.84
ADA,2023-01-08,44232.19,45000.73,45362.95,44019.18,202564.33,-1.71%,15707678037316.01,700389033.95,-19.23,23.53
ADA,2023-01-22,13015.52,13796.19,14741.14,12869.69,453697.9,-5.66%,9687350648176.97,450204417.44,0.36,30.68
BTC,2022-11-28,8555.13,8307.85,9231.41,7379.86,940986.92,2.98%,2168151421159.42,881905496.12,10.94,10.97
BTC,2023-03-30,1552.52,1603.7,1614.67,1353.14,392758.78,-3.19%,1204245173188.23,626016848.44,-4.43,38.01
BTC,2024-01-06,23872.01,23319.12,24148.97,23192.31,334834.68,2.37%,603412254836.43,474251205.96,0.87,-45.84
ADA,2023-05-10,17925.84,18114.97,18184.34,17397.68,476391.22,-1.04%,5650542233510.06,841523576.4,18.18,-47.46
XRP,2022-09-25,49639.71,49217.19,49981.92,48942.11,599706.52,0.86%,20094109875784.85,306791756.16,-17.61,-37.46
ETH,2023-09-24,35622.36,35295.12,36011.39,34571.55,524412.06,0.93%,29341056490766.37,691497331.26,7.89,-11.27
ETH,2023-05-07,40102.47,40027.31,40840.31,39946.58,272927.62,0.19%,32098033836134.04,328610221.4,8.35,28.23
ADA,2023-08-30,49610.47,49927.3,50082.5,49027.14,48215.13,-0.63%,29067628294303.73,641908101.02,-18.65,25.77
BTC,2022-12-03,32535.34,32455.16,32911.71,32216.44,167795.81,0.25%,10877613128221.61,655552092.4,-0.94,5.59
ADA,2022-08-12,40327.18,41047.65,41391.03,40234.69,433455.72,-1.76%,14234195860446.21,452129058.07,13.34,1.24
BTC,2022-10-06,15193.67,15912.89,15935.62,15179.14,887079.13,-4.52%,2949843767582.67,414422453.99,-17.52,-18.87
XRP,2022-07-12,30778.29,30062.39,30856.84,29894.23,927590.07,2.38%,12582715401189.9,441265966.26,4.17,12.01
LTC,2024-04-07,15337.89,15556.17,16405.26,15102.53,459191.76,-1.4%,4062780821476.22,949335852.42,-17.44,-40.37
BTC,2023-05-14,1455.76,1164.72,1568.48,474.15,329575.24,24.99%,1151455182542.29,746265505.47,7.79,-2.35
BTC,2023-11-19,42693.28,43119.24,43909.97,42260.79,651517.39,-0.99%,4125124156846.2,826746538.6,-6.66,45.51
XRP,2022-06-22,8261.69,7798.17,8314.77,6993.43,10719.24,5.94%,2795370602684.35,944469594.76,7.84,-33.94
ETH,2024-03-05,33705.99,34023.87,34967.02,33089.73,33609.62,-0.93%,32311278773441.13,626211925.48,-4.08,-27.36
LTC,2023-04-21,8765.54,8583.83,8822.02,8357.79,468269.81,2.12%,7684181958422.85,138859885.57,2.6,-48.65
ADA,2022-05-25,34338.92,34378.31,35096.78,34206.35,34914.45,-0.11%,11125815100847.99,4693102.76,-18.11,42.56
ADA,2024-02-05,7423.56,7469.97,7623.12,6683.12,424549.88,-0.62%,4220114087657.43,686744718.49,8.45,42.25
LTC,2023-10-24,11081.83,10911.48,11311.87,10781.68,357086.94,1.56%,1080037443770.42,895808613.04,-10.17,-11.82
XRP,2023-01-20,32534.9,32298.71,32695.77,31717.33,997987.9,0.73%,28798417825313.45,372424830.29,-19.13,11.16
XRP,2023-01-17,13596.81,13886.46,14497.43,13019.13,629841.17,-2.09%,7273443865115.83,852710051.53,-14.23,-10.76
XRP,2023-06-26,21505.11,21704.54,21809.36,21243.85,177912.7,-0.92%,10212447910573.96,159850310.15,16.74,36.46
ADA,2022-09-12,46796.68,46679.05,47024.47,46050.45,633967.03,0.25%,35269593052327.55,196497307.24,18.29,-32.31
ADA,2023-04-17,14980.52,14872.53,15506.95,14581.42,685400.32,0.73%,4041739529250.8,728148006.57,-6.12,-36.78
ADA,2023-05-20,8036.07,8371.33,8801.91,7972.93,713662.14,-4.0%,5473710751040.71,778017210.03,1.8,5.39
ETH,2022-10-23,10544.29,10452.45,10680.7,9927.15,363404.38,0.88%,9299959560925.12,736142390.27,8.66,-16.48
BTC,2023-07-12,38799.18,38693.69,38955.46,38535.37,968846.95,0.27%,20703175693219.71,145435917.19,-4.95,23.98
ADA,2023-03-28,11929.56,11803.37,12718.19,11424.8,476560.54,1.07%,3660613657629.82,410691088.99,-3.75,-40.23
ETH,2022-10-18,857.04,345.37,940.84,-359.09,521948.7,148.15%,597485226967.99,647708615.5,-11.8,14.43
ADA,2022-09-10,13315.55,13407.3,14139.22,13238.66,45660.87,-0.68%,1548373591704.85,362804356.05,8.9,-18.16
XRP,2023-06-01,29342.05,29254.22,29508.1,28767.69,923504.48,0.3%,16492678716626.56,827414543.25,-16.88,35.64
ETH,2022-06-15,41406.7,41391.62,42241.19,40512.96,612171.7,0.04%,8648831178553.14,708423417.84,-3.8,-47.88
ETH,2023-06-21,8781.47,8649.62,9090.58,8595.97,804320.27,1.52%,5658894452480.32,405783076.69,-10.68,37.34
BTC,2023-09-23,30958.17,31038.15,31306.84,30530.65,400149.91,-0.26%,8236162442440.32,230540871.44,-5.43,-19.75
ADA,2022-10-14,23237.76,22900.36,23862.78,22422.25,415882.58,1.47%,2164577987193.24,482809639.2,12.58,-20.33
LTC,2022-08-24,6425.61,7017.81,7881.87,6194.81,563137.52,-8.44%,51714675814.59,862174098.2,2.33,25.53
XRP,2024-04-25,5734.05,5441.52,5914.48,5094.24,873859.75,5.38%,3933863463263.9,242447376.23,-0.09,48.42
LTC,2023-01-05,806.33,547.71,902.58,-407.2,100749.33,47.22%,246302265624.78,422870894.69,9.56,46.36
ETH,2023-01-12,14333.98,14466.35,14665.66,13690.11,783753.62,-0.92%,4065341688913.74,612804067.94,13.25,-38.05
LTC,2023-10-14,43329.29,43445.66,43674.31,42736.36,365163.65,-0.27%,12051367772138.88,972726871.09,10.69,21.44
LTC,2022-09-04,23846.07,24038.4,24329.76,23592.41,251096.73,-0.8%,4477194417348.16,955919858.79,-0.03,-39.0
XRP,2023-06-22,23754.63,23294.44,23756.22,22358.68,830214.23,1.98%,5260100111813.99,399888922.82,-7.55,-26.73
ADA,2024-04-19,610.19,181.9,653.67,-212.37,822558.56,235.45%,263553181396.07,49581016.17,10.85,-9.35
LTC,2022-12-11,36369.22,36298.95,36477.52,36118.13,37979.91,0.19%,34657427322671.99,9084328.74,1.38,-37.03
ADA,2024-01-30,46198.65,46753.78,46953.15,46012.72,11480.24,-1.19%,41423627208906.64,846262628.96,-17.33,-32.29
ETH,2023-01-07,46134.18,46423.24,46805.17,45615.86,387432.22,-0.62%,35319530396743.95,616145235.6,-9.23,8.28
LTC,2023-04-30,33409.17,33891.24,34531.99,33295.34,945737.17,-1.42%,23891801805361.76,273598258.27,7.69,12.08
ETH,2023-06-12,10659.78,10433.73,11409.6,10114.19,505366.44,2.17%,5969888295315.4,693432717.5,-1.02,0.9
XRP,2023-09-13,9059.22,9015.94,9563.71,8887.06,87764.4,0.48%,4583370791857.78,820269190.0,14.53,-4.62
LTC,2023-09-24,39097.77,38783.48,39193.76,38336.48,556939.19,0.81%,37479767455634.24,775485764.45,-11.04,-25.89
XRP,2023-09-18,7164.92,7135.52,7576.43,6775.54,932551.64,0.41%,1072298127166.82,831748243.39,7.38,-31.24
ADA,2024-02-25,33576.12,33690.83,34637.03,33535.72,871335.33,-0.34%,27040837269460.42,765982528.29,-1.26,17.78
XRP,2023-10-10,9840.87,9683.38,10074.27,8896.33,961523.12,1.63%,8736522235233.3,682402452.24,0.84,22.39
ETH,2023-11-02,46134.75,46161.92,46874.5,45567.43,637206.17,-0.06%,28514091988559.05,898955272.38,2.83,-28.66
XRP,2022-06-22,12352.44,12224.13,13129.08,11380.6,204427.65,1.05%,549664693405.33,135035284.25,-2.27,17.42
ETH,2024-03-26,34189.34,34257.57,35119.52,33500.33,649270.63,-0.2%,33792027921537.24,885526191.27,-6.47,18.54
ETH,2023-06-05,27823.32,27912.69,28269.22,27474.54,666600.61,-0.32%,23542702531159.1,469103270.38,-14.14,25.42
ETH,2023-06-27,47668.07,47540.46,48248.21,47330.44,56137.09,0.27%,19388129465785.96,88480706.27,-3.51,6.96
XRP,2023-11-24,9742.71,10602.35,10606.49,9606.3,646539.08,-8.11%,4776063514614.96,380769241.48,1.49,-42.17
XRP,2022-06-04,9999.21,10277.43,10894.44,9917.42,33002.57,-2.71%,8086222335383.5,614250944.23,14.62,8.79
ADA,2023-05-31,7397.34,7753.64,8012.03,7160.12,840036.87,-4.6%,1629700470828.32,384677236.07,0.27,-16.02
ADA,2023-02-14,46680.4,46785.9,46829.91,46470.36,490189.55,-0.23%,44592080834300.19,527786748.95,-2.61,-11.45
BTC,2022-09-16,22045.73,21769.03,22433.44,20806.89,886307.62,1.27%,2640791887245.42,430340835.02,-18.73,-22.8
XRP,2022-09-15,16676.65,17256.67,17630.41,16453.59,826250.65,-3.36%,9045067518113.67,339406383.35,2.09,-33.86
XRP,2022-06-11,32150.26,31894.07,32151.93,31756.4,108329.46,0.8%,18058128880269.02,955351326.11,10.31,-24.85
BTC,2023-11-04,3757.41,3846.6,4845.59,3718.34,842230.27,-2.32%,842291989329.53,97719064.94,13.45,-28.3
ETH,2024-04-29,33301.76,33201.78,33431.93,33000.37,444594.49,0.3%,5288440208428.69,721038215.38,15.78,47.38
ADA,2022-12-11,10399.73,10881.8,11710.02,9898.17,667809.87,-4.43%,8005916339678.66,84198716.79,12.77,-19.16
LTC,2022-06-24,3652.74,4320.0,4334.12,3516.65,282552.45,-15.45%,738610427388.26,555117973.48,14.6,-41.11
ADA,2023-11-15,41329.09,41591.05,41713.76,40997.48,330889.3,-0.63%,12285913188674.43,628695845.03,6.95,-21.33
BTC,2022-05-28,31840.84,31957.83,32227.12,31086.96,323755.04,-0.37%,17458273613598.87,979258321.04,-18.06,20.85
ADA,2022-10-10,12788.94,13052.64,13108.73,12664.03,233185.47,-2.02%,12160398252700.79,910616440.15,1.31,38.94
BTC,2023-07-27,19162.44,18786.1,19306.82,18555.09,389863.7,2.0%,4584638730281.56,308989195.8,12.98,40.41
XRP,2022-06-04,44681.82,44686.47,45048.64,44272.57,504834.78,-0.01%,12032035346982.3,432072942.35,7.9,42.69
ETH,2024-05-15,44264.56,44357.18,44881.41,44154.72,800939.8,-0.21%,34928311910563.93,187093996.73,19.32,4.42
ETH,2023-01-13,43459.36,43223.08,43944.85,42297.83,165275.65,0.55%,32963945553218.37,129691411.93,13.33,18.12
ETH,2023-11-07,49442.63,49382.48,49681.87,48514.78,744564.86,0.12%,35708471792647.25,790191881.82,13.9,-43.76
ETH,2023-06-14,25160.46,25325.91,25538.4,24792.69,135503.73,-0.65%,2185819767152.46,12641143.91,13.0,-41.83
ETH,2023-06-29,22399.32,22574.13,22849.92,22161.68,402332.19,-0.77%,16272424754207.13,892633681.37,-13.69,-25.73
ETH,2022-07-05,37893.05,38104.15,38157.81,37295.04,256498.21,-0.55%,26920341631882.59,897095830.37,6.46,9.98
ADA,2023-03-12,405.37,773.24,920.98,106.39,964048.54,-47.58%,203596519792.75,688594886.5,-14.66,-2.06
ETH,2024-02-02,19899.79,19905.65,20379.18,19465.28,302941.22,-0.03%,16097179369767.78,913164867.55,-6.04,13.79
XRP,2023-06-29,29285.72,28979.72,29675.26,28478.2,759574.29,1.06%,24701109059949.47,189621079.9,-11.34,1.44
ADA,2022-10-10,40607.65,40405.5,40922.88,39505.45,511252.65,0.5%,33562214425681.19,476380104.86,-6.33,-6.66
XRP,2024-03-16,26442.07,26383.57,27173.03,26189.25,694460.6,0.22%,509282183771.22,597592461.06,14.23,47.9
BTC,2022-12-27,47156.12,46983.4,47168.4,46809.81,366776.35,0.37%,38289096739070.3,10001666.92,19.63,-48.35
ADA,2022-11-07,41202.96,41579.92,41890.32,40757.84,504808.35,-0.91%,14994363754173.8,355363349.34,3.28,28.21
BTC,2022-11-12,643.97,812.24,1343.93,459.45,921643.3,-20.72%,127255711460.13,185290490.93,-12.85,15.81
ADA,2024-01-15,25705.93,25331.11,25917.91,24390.53,906875.17,1.48%,1416491242888.3,897515361.23,-18.75,14.76
ETH,2023-10-16,4310.18,4352.39,4662.7,3719.45,828084.77,-0.97%,818398558284.92,62401121.1,18.86,-18.39
LTC,2023-09-29,49367.55,48856.47,49465.44,48525.88,87121.42,1.05%,39708764672549.13,160419436.49,-15.69,-24.11
XRP,2024-02-01,22373.17,22444.79,23115.73,21837.31,135139.41,-0.32%,14704166031189.52,938260864.88,11.5,8.45
BTC,2022-11-26,36793.55,37363.12,37845.4,36676.67,766701.9,-1.52%,9675435762840.93,785341269.95,5.41,0.91
ADA,2022-08-04,1037.13,503.04,1110.87,-470.67,889471.36,106.17%,423868641856.38,784036227.76,-0.75,-47.3
ETH,2022-08-15,34739.04,35174.87,35818.77,34425.37,217145.84,-1.24%,31787543066175.53,902596156.57,-18.11,28.2
ETH,2023-12-14,36865.62,36584.02,36881.22,36179.3,835012.77,0.77%,20158087744729.4,742954332.06,-2.17,4.24
ADA,2022-09-27,32146.88,32247.65,32836.2,32079.3,474906.86,-0.31%,8634773428753.36,212422364.18,7.39,36.49
BTC,2023-11-07,38727.86,38715.22,38785.38,38704.97,774965.12,0.03%,32252731749933.87,507795459.32,17.53,-38.55
LTC,2022-05-26,37168.94,37043.23,37366.55,36897.87,71948.25,0.34%,13887944135222.37,254614870.95,-6.73,-1.48
ADA,2023-11-10,4207.74,4309.44,4624.97,3925.74,485235.0,-2.36%,1794374532724.7,74953554.72,-11.23,14.43
ADA,2023-04-05,7425.71,7494.67,7565.14,7338.78,569554.35,-0.92%,4935074730804.58,524834958.31,2.61,-14.78
XRP,2023-07-05,29560.33,29614.6,29933.78,28944.93,517286.91,-0.18%,6889429755684.2,502674354.41,9.01,28.17
LTC,2023-05-05,39347.61,39645.7,39652.6,39071.34,374310.48,-0.75%,30172475917297.5,244650604.64,-19.03,0.78
BTC,2023-12-24,18121.31,17998.94,18941.42,17819.12,488309.56,0.68%,16568186831182.74,947027388.21,-19.95,14.79
ETH,2024-03-20,32985.46,32758.64,33501.49,31871.5,848737.5,0.69%,25883539854926.9,161555422.06,-18.25,23.88
ADA,2024-03-24,49666.55,49893.49,50058.38,49508.22,879910.34,-0.45%,24049142796254.05,913735931.99,8.29,49.88
ADA,2024-04-05,9172.52,8752.98,9194.66,8174.59,572201.03,4.79%,7937896202993.28,628877053.29,0.5,-10.86
LTC,2023-06-14,14498.58,14831.38,15042.75,13868.8,867210.84,-2.24%,12832385748970.18,942357561.27,-10.47,-16.23
ETH,2023-04-14,12188.1,12254.39,13098.47,11997.69,707606.95,-0.54%,7274465960855.61,893783690.81,-2.12,-29.52
ETH,2024-01-24,17727.46,17961.09,18210.16,17158.94,905693.63,-1.3%,5219836147421.88,274158550.95,-11.92,34.4
LTC,2022-06-10,1913.34,2262.03,3218.62,1658.11,561646.58,-15.41%,156615731017.4,501972230.93,7.55,-8.02
LTC,2024-04-08,36541.38,37162.37,37862.4,36465.3,915535.11,-1.67%,32618980492907.87,335309844.38,-13.61,-23.39
ADA,2023-08-11,15504.19,15513.06,16412.14,14660.31,228178.97,-0.06%,10491976593328.97,726463052.17,19.82,29.04
